Deal Number,Acquiror ticker symbol,Announced date,Deal value th USD,DlyCap_Minus_50,Relative_Size,Model,evtdate,cret,car,bhar,nrets_est
2007755569.0,KEQU,2024-11-04,55000.0,151612.88,0.3627660130194743,Market Model,2024-11-04,0.1226355612,0.1056409743,0.0993667007,250.0
2007761155.0,YELP,2024-11-07,80000.0,2342141.76,0.0341567711085088,Market Model,2024-11-07,0.0315819696,-0.003144654,-0.00429875,250.0
2007764430.0,CTRA,2024-11-13,3950000.0,17683434.08,0.223372902691308,Market Model,2024-11-13,0.0090515545,0.0193626102,0.0192157707,250.0
2007765606.0,GIS,2024-11-14,1450000.0,41068382.68,0.0353069662201754,Market Model,2024-11-14,-0.016339869,-0.021355085,-0.021646265,250.0
2007769381.0,AVAV,2024-11-19,4100000.0,5103029.52,0.8034443038064182,Market Model,2024-11-19,-0.008597421,-0.022195744,-0.02254707,250.0
2007769417.0,LB,2024-11-19,245000.0,614405.5,0.3987594512093397,,,,,,
2007769275.0,HOOD,2024-11-19,300000.0,14998830.26,0.0200015597749687,Market Model,2024-11-19,0.1163366337,0.0896574923,0.0922119609,250.0
2007773269.0,AIT,2024-11-22,273000.0,7749285.18,0.0352290557978923,Market Model,2024-11-22,0.0482050124,0.0287276393,0.0292172926,250.0
2007774905.0,SNDR,2024-11-25,390000.0,2555395.92,0.152618229115745,Market Model,2024-11-25,0.0595351799,0.0523564227,0.0531899756,250.0
2007760837.0,ONB,2024-11-25,1401000.0,5983877.2,0.2341291362062042,Market Model,2024-11-25,0.0935727788,0.0764443778,0.0784827791,250.0
2007780292.0,THS,2024-12-02,205000.0,2172534.0,0.0943598581195967,Market Model,2024-12-02,-0.009229882,-0.010933938,-0.011410059,250.0
2007782310.0,UCB,2024-12-03,80000.0,3521256.62,0.0227191621154836,Market Model,2024-12-03,0.0056196392,-0.006087743,-0.00612192,250.0
2007944863.0,IPG,2024-12-05,100000.0,11725951.02,0.0085280929307514,Market Model,2024-12-05,-0.021404682,-0.027018894,-0.027089033,250.0
