,Deal Number,Acquiror name,Acquiror country code,Target name,Target country code,Deal type,Deal status,Deal value th USD,Last deal status date,Acquired stake (%),Initial stake (%),Final stake (%),Target primary NAICS 2017 code,Acquiror primary NAICS 2017 code,Acquiror ticker symbol,Target ticker symbol,Announced date,Deal method of payment,Target listed,Deal method of payment value th USD
42.,1941195661,DANAHER CORPORATION,US,GENERAL ELECTRIC COMPANY'S BIOPHARMA BUSINESS,US,Acquisition 100%,Completed,"21,400,000.00",31.03.2020,100.00000,0.00000,100.00000,541713,334510,DHR,,25.02.2019,Cash Reserves,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"21,400,000"
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
43.,1941331824,7-ELEVEN INC.,US,SPEEDWAY LLC,US,Acquisition 100%,Completed,"21,000,000.00",14.05.2021,100.00000,0.00000,100.00000,447110,445120,SE,,02.08.2020,Cash,Unlisted,"21,000,000"
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
44.,2007595878,ALPINE SUB LLC,US,PHYSICIANS REALTY TRUST,US,Acquisition 100%,Completed,"21,000,000.00",01.03.2024,100.00000,0.00000,100.00000,531120,523910,,DOC,29.10.2023,Shares,Delisted,"21,000,000"
45.,2007322174,ALPINE SUB LLC,US,PHYSICIANS REALTY TRUST,US,Acquisition 100%,Completed,"21,000,000.00",01.03.2024,100.00000,0.00000,100.00000,531120,523910,,DOC,29.10.2023,Shares,Delisted,"21,000,000"
46.,1941435563,GILEAD SCIENCES INC.,US,IMMUNOMEDICS INC.,US,Acquisition 100%,Completed,"21,000,000.00",23.10.2020,100.00000,0.00000,100.00000,325412,325412,GILD,IMMU,13.09.2020,Cash,Delisted,"15,000,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
,,,,,,,,,,,,,,,,,,Bonds,,"6,000,000"
47.,1941408793,ANALOG DEVICES INC.,US,MAXIM INTEGRATED PRODUCTS INC.,US,Acquisition 100%,Completed,"20,912,762.00",26.08.2021,100.00000,0.00000,100.00000,334413,334413,ADI,MXIM,13.07.2020,Shares,Delisted,"20,912,762"
48.,1941524272,THERMO FISHER SCIENTIFIC INC.,US,PPD INC.,US,Acquisition 100%,Completed,"20,400,000.00",08.12.2021,100.00000,0.00000,100.00000,541713,334516,TMO,PPD,15.04.2021,Cash,Delisted,"17,400,000"
,,,,,,,,,,,,,,,,,,Liabilities,,"3,000,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
49.,2007367622,VERIZON COMMUNICATIONS INC.,US,FRONTIER COMMUNICATIONS PARENT INC.,US,Acquisition 100%,Completed,"20,000,000.00",20.01.2026,100.00000,0.00000,100.00000,517311,517919,VZ,FYBR,05.09.2024,Liabilities,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"20,000,000"
50.,1941521750,MICROSOFT CORPORATION,US,NUANCE COMMUNICATIONS INC.,US,Acquisition 100%,Completed,"19,700,000.00",04.03.2022,100.00000,0.00000,100.00000,518210,541511,MSFT,NUAN,12.04.2021,Cash,Delisted,"19,700,000"
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
51.,2007153104,ONEOK INC.,US,MAGELLAN MIDSTREAM PARTNERS LP,US,Acquisition 100%,Completed,"18,800,000.00",25.09.2023,100.00000,0.00000,100.00000,486910,221210,OKE,MMP,14.05.2023,Shares,Delisted,"8,800,000"
,,,,,,,,,,,,,,,,,,Cash,,"5,100,000"
,,,,,,,,,,,,,,,,,,Liabilities,,"5,000,000"
