Deal Number,Acquiror ticker symbol,Announced date,Deal value th USD,DlyCap,Relative_Size,Model,evtdate,Percent_Stock,Public_Target,Same_Industry,Log_Acq_Size,cret,car,bhar,nrets_est
2007041993.0,CHD,2022-09-06,630000.0,20448079.62,0.0308097391886035,Market Model,2022-09-06,0.1031746031746031,0,1,16.83339952993116,-0.091426542,-0.095678229,-0.094084622,250
1941739338.0,XL,2022-09-09,600000.0,155320.64,3.8629766140546415,Market Model,2022-09-09,0.0,0,0,11.953246904362482,-0.233576642,0.0691977011,0.0431616963,250
1941740492.0,AM,2022-09-12,205000.0,4861133.28,0.0421712362513129,Market Model,2022-09-12,0.0,0,0,15.396782153878425,-0.02504817,0.0222433324,0.0191963975,250
1941742344.0,OXM,2022-09-19,270000.0,1381044.3,0.1955042282133889,Market Model,2022-09-19,0.0,0,0,14.138350510081134,-0.242385571,-0.102282081,-0.09099846,250
1941742106.0,HEES,2022-09-19,130000.0,1101072.0,0.1180667567606841,Market Model,2022-09-19,0.0,0,1,13.91179480866202,-0.213329131,-0.038496596,-0.034110044,250
1941741507.0,MCK,2022-09-19,875000.0,49766512.5,0.0175821040302954,Market Model,2022-09-19,0.0,0,0,17.722852876046826,-0.068307711,-0.047075348,-0.046714919,250
1941742077.0,SMBC,2022-09-20,140000.0,485906.85,0.2881210668258741,Market Model,2022-09-20,0.0,0,1,13.093772217845562,-0.068555759,-0.022450734,-0.022655511,250
1941743177.0,TALO,2022-09-22,1100000.0,1557548.67,0.7062379630165907,Market Model,2022-09-22,0.7613636363636364,0,1,14.25862377795166,-0.188476562,-0.108283858,-0.118584685,250
1941745427.0,PFS,2022-09-27,1300000.0,1743415.32,0.7456628292104258,Market Model,2022-09-27,1.0,1,1,14.371356574947873,-0.15066778,-0.129644559,-0.126816192,250
2007008382.0,NOG,2022-09-30,180000.0,2129915.85,0.0845103810087145,Market Model,2022-09-30,0.0,0,1,14.57159302986293,0.0457234002,0.0783534197,0.0586102219,250
2007030334.0,AME,2022-09-30,190300.0,26006595.84,0.0073173744526496,Market Model,2022-09-30,0.0,0,1,17.073860749966713,-0.030479557,0.0383874501,0.0348533265,250
2007078885.0,LHX,2022-10-01,1960000.0,39768893.99,0.0492847500484385,Market Model,2022-10-03,0.0,0,1,17.49859560663875,0.012967603,0.026435933,0.0217466667,250
2008151021.0,IR,2022-10-03,105000.0,17441610.06,0.006020086427732,Market Model,2022-10-03,0.0,0,0,16.67436929213801,-0.066556428,0.0198397948,0.0158178426,250
