Deal Number,Acquiror ticker symbol,Announced date,Deal value th USD,DlyCap,Relative_Size,Model,evtdate,cret,car,bhar,nrets_est,Percent_Stock,Public_Target,Same_Industry,Log_Acq_Size
2007670564.0,CIFR,2024-09-24,67500.0,983533.59,0.068630091220372,Market Model,2024-09-24,0.3310344828,0.299952899,0.3274463274,250.0,0.0,0,0,13.79890706976133
2007706495.0,APOG,2024-09-25,242000.0,1464017.66,0.1652985524778437,Market Model,2024-09-25,0.0332196352,0.0279450979,0.0279424198,250.0,0.0,0,0,14.196695036272168
2007712117.0,ULH,2024-09-30,193600.0,1126410.4,0.1718734131005893,Market Model,2024-09-30,0.0170737491,0.0235611476,0.0236279092,250.0,0.0,0,1,13.934546497297838
2007715784.0,ULBI,2024-09-30,50000.0,150438.15,0.3323625024636371,Market Model,2024-09-30,-0.013874066,-0.016097531,-0.016768177,250.0,0.0,0,1,11.921307315247294
2007720578.0,VLTO,2024-10-07,350000.0,27680814.12,0.0126441367830694,Market Model,2024-10-07,0.0078160093,-0.00128252,-0.001246608,203.0,0.0,0,0,17.136250100130933
2007723269.0,ZETA,2024-10-08,250000.0,6170147.62,0.04051766917045,Market Model,2024-10-08,0.0673324742,0.0487240947,0.0489199035,250.0,0.94,0,1,15.635233321041067
2007729656.0,HOLX,2024-10-14,350000.0,18493972.25,0.0189250851720078,Market Model,2024-10-14,0.0217717718,0.0186087557,0.018595427,250.0,0.0,0,1,16.732955412631952
2007731018.0,CXT,2024-10-15,399763.27,3144249.11,0.1271410934739837,Market Model,2024-10-15,0.0098074827,0.0051147627,0.0051194139,250.0,0.0,0,0,14.96108566285299
2007749107.0,ADP,2024-10-15,1200000.0,118640700.0,0.01011457282366,Market Model,2024-10-15,0.0081148564,0.005556614,0.0055506314,250.0,0.0,0,1,18.591610155978838
2007731700.0,VSEC,2024-10-15,200000.0,1689202.14,0.1183990922483676,Market Model,2024-10-15,0.1817267955,0.1708567193,0.1714076376,250.0,0.075,0,1,14.339766868913015
2007734669.0,CIM,2024-10-17,50000.0,1293327.86,0.0386599574217785,Market Model,2024-10-17,0.0394311571,0.0311042734,0.0310890978,250.0,0.0,0,0,14.07272919096363
2007735315.0,XRX,2024-10-17,400000.0,1303324.24,0.3069075121322074,Market Model,2024-10-17,0.0415057915,0.0389631084,0.0378870183,250.0,0.0,0,0,14.080428666287002
2007735122.0,PIXY,2024-10-17,150000.0,2750.0,54.54545454545455,Market Model,2024-10-17,0.2014705882,0.3088169993,0.1989299269,250.0,0.5,0,1,7.919356190660617
2007739222.0,ROAD,2024-10-21,908200.0,3273279.3,0.2774587552000222,Market Model,2024-10-21,0.1108312343,0.1092702611,0.1066772837,250.0,0.24675181678044483,0,1,15.001302884397985
2007679981.0,AUB,2024-10-21,1300000.0,3484478.23,0.3730831172390478,Market Model,2024-10-21,-0.07863464,-0.079583156,-0.078850934,250.0,1.0,1,1,15.063828872172948
2007738409.0,PSN,2024-10-21,230000.0,11465856.3,0.0200595571741118,Market Model,2024-10-21,-0.007850744,-0.012641025,-0.012626436,250.0,0.0,0,1,16.254884159666542
2007753060.0,LYEL,2024-10-24,61130.0,295048.6,0.2071862059335309,Market Model,2024-10-24,-0.193913043,-0.182185282,-0.174317279,250.0,0.3047603468018976,0,1,12.594895367515576
2007747465.0,ABBV,2024-10-28,1400000.0,331807720.4,0.0042193111067827,Market Model,2024-10-28,-0.001054574,-0.005156132,-0.005254295,250.0,0.0,0,1,19.62006620368379
2007750279.0,AKR,2024-10-29,275000.0,2591142.6,0.1061307857004859,Market Model,2024-10-29,0.0241566014,0.0189188076,0.0188101499,250.0,0.0,0,0,14.767609494695165
2007749872.0,SXI,2024-10-29,462000.0,2135220.48,0.2163710981265972,Market Model,2024-10-29,0.0694585735,0.0669990898,0.0683424431,250.0,0.0,0,1,14.574080468633795
2007750218.0,THRY,2024-10-29,80000.0,651979.9,0.1227031692234683,Market Model,2024-10-29,-0.186006826,-0.174336118,-0.1833658,250.0,0.0,0,1,13.387769012212733
2007753662.0,NRIM,2024-10-31,56000.0,365002.68,0.1534235310272242,Market Model,2024-10-31,-0.022252293,-0.007258768,-0.007055972,250.0,0.0,0,1,12.807659975003427
2007752853.0,WCC,2024-10-31,185000.0,8740470.2,0.0211659093580571,Market Model,2024-10-31,0.0582049263,0.0962084464,0.0947229075,250.0,0.0,0,0,15.983474544811626
2007753654.0,CELH,2024-11-01,75000.0,7069732.48,0.0106086050939228,Market Model,2024-11-01,0.0123818833,0.0455530835,0.0442889273,250.0,0.0,0,1,15.771333198401548
2007755118.0,MPB,2024-11-01,127000.0,525025.8,0.2418928745977816,Market Model,2024-11-01,-0.027289837,-0.011290571,-0.011608313,250.0,1.0,0,1,13.171202683223433
2007753980.0,CECO,2024-11-01,125000.0,832500.2,0.1501501140780506,Market Model,2024-11-01,-0.074827166,-0.061257724,-0.059235346,250.0,0.0,1,1,13.632188741076947
2007763426.0,BWXT,2024-11-04,100000.0,11206263.6,0.0089235809159441,Market Model,2024-11-04,-0.039425051,-0.054313585,-0.054117631,250.0,0.0,0,0,16.23198342994332
2007757248.0,TDY,2024-11-04,57300.0,21213230.4,0.0027011444706695,Market Model,2024-11-04,0.0088948432,-0.000923314,-0.00090491,250.0,0.0,0,1,16.870135620459823
2007755569.0,KEQU,2024-11-04,55000.0,105632.16,0.5206747642005995,Market Model,2024-11-04,0.1226355612,0.1056409743,0.0993667007,250.0,0.0,0,1,11.567718149344289
2007761155.0,YELP,2024-11-07,80000.0,2451545.76,0.0326324726649197,Market Model,2024-11-07,0.0315819696,-0.003144654,-0.00429875,250.0,0.0,0,1,14.712229306021998
2007764430.0,CTRA,2024-11-13,3950000.0,18637097.54,0.2119428731604953,Market Model,2024-11-13,0.0090515545,0.0193626102,0.0192157707,250.0,0.25316455696202533,0,1,16.740664643724052
2007765606.0,GIS,2024-11-14,1450000.0,36213021.57,0.0400408454510524,Market Model,2024-11-14,-0.016339869,-0.021355085,-0.021646265,250.0,0.0,0,1,17.404929323993645
2007769381.0,AVAV,2024-11-19,4100000.0,5558359.35,0.7376277318234202,Market Model,2024-11-19,-0.008597421,-0.022195744,-0.02254707,250.0,1.0,0,0,15.530813541746568
2007769275.0,HOOD,2024-11-19,300000.0,26724705.0,0.0112255682522968,Market Model,2024-11-19,0.1163366337,0.0896574923,0.0922119609,250.0,0.4,0,0,17.101098976460857
